longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool
4.3160418,50.8294542,Rent,1225,Appartment,Flat,40213,1070,2021,New,88,2,1,False,9,False,From 15/06/2026,Brussels,rue du nieuwmolen,13,,,,,,
4.3193694,50.8569755,Rent,1200,Appartment,Flat,38140,1080,1968,Normal,100,2,1,True,,,,Brussels,,,1,,,,,
4.3709272,50.8459379,Rent,1690,Appartment,Flat,37194,1000,2022,Normal,87,2,1,True,,True,Immediately,Brussels,rue joseph ii,21,,,,,,
4.3904064,50.80892685,Rent,2480,Appartment,Penthouse,28126,1050,,Fully renovated,95,2,1,True,,True,,Brussels,avenue george bergmann,65,,,,,,
4.3008967,50.8740942,Rent,3300,House,House,39656,1083,2001,Excellent,225,4,2,False,12,True,Immediately,Brussels,venelle vivaldi,20,1,8873,30212,20,,
4.313739,50.8918916,Rent,1190,Appartment,Flat,40587,1090,2012,Normal,78,2,1,,8,False,,Brussels,avenue du bourgmestre etienne demunter,19,,,,,,
4.3848205,50.8122615,Rent,1350,Appartment,Flat,46535,1050,,Normal,90,1,1,True,23,False,,Brussels,avenue adolphe buyl,155,,,,,,
4.3735693,50.8160683,Rent,2200,Appartment,Flat,42479,1050,1915,Fully renovated,113,2,1,True,9,True,,Brussels,boulevard de la cambre,45,,,10709,,,
4.3506655,50.855791,Rent,1750,Appartment,Flat,39815,1000,1932,Normal,113,2,1,True,15,False,Immediately,Brussels,quai au foin,27,,,,,,
4.3658967,50.8379318,Rent,1650,Appartment,Duplex,48162,1050,,Excellent,97,2,2,True,32,False,Immediately,Brussels,rue de naples,37,,,16885,,,
4.358651,50.8329628,Rent,2450,Appartment,Flat,45787,1050,,,,3,2,False,6,,From 01/07/2026,Brussels,avenue louise,64,,,,,False,
4.308187,50.8365808,Rent,3500,House,Villa,44165,1070,2008,Excellent,,4,3,False,,True,,Brussels,,,,,,7000,,
4.3904064,50.80892685,Rent,2480,Appartment,Flat,28126,1050,,Fully renovated,95,2,1,True,,True,,Brussels,avenue george bergmann,65,,,,,,
4.3619341,50.8168767,Rent,5000,House,MasterHouse,39656,1050,1927,Excellent,278,5,3,False,17,False,Immediately,Brussels,rue jules lejeune,42,,195,118079,70,,
4.3472595,50.8559857,Rent,1250,Appartment,Flat,46453,1000,1934,Excellent,50,1,1,True,2,True,Immediately,Brussels,quai du commerce,8,,,,,True,
4.3857974,50.8351558,Rent,2500,House,House,39656,1040,1890,Fully renovated,180,3,2,False,,False,Immediately,Brussels,rue richard kips,28,,120,40332,45,,
4.4106993,50.822803,Rent,1200,Appartment,Flat,40587,1160,1962,Normal,84,2,1,,2,False,Immediately,Brussels,avenue thomas frissen,1,,,,,,
4.3905754,50.8003581,Rent,3400,Appartment,Flat,27209,1000,1964,Normal,276,4,3,True,27,False,Immediately,Brussels,avenue franklin roosevelt,117,1,,,,,True
4.4290502,50.8491623,Rent,4200,House,House,43157,1150,1963,Fully renovated,310,6,2,False,12,False,,Brussels,avenue mostinckx,81,1,230,,50,,
