longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool
4.3876671,50.8469517,Sale,395000,Appartment,Duplex,46453,1000,1900,Excellent,120,2,2,False,,True,On contract,Brussels,rue des patriotes,9,,,,,,
4.3766927,50.8235717,Sale,465000,Appartment,Flat,44165,1050,1959,Fully renovated,83,2,1,True,2,False,On contract,Brussels,rdpt de l'etoile,5,,,12178,,,
4.3415279,50.8103165,Sale,190000,Appartment,Flat,46535,1180,,To be renovated,50,1,1,False,,False,Immediately,Brussels,rue des glaïeuls,17,,,,,,
4.3333333,50.8,Sale,155000,Appartment,FlatStudio,48985,1180,1978,Excellent,54,1,1,,,,,Brussels,,,,,,,,
4.4005491,50.8501828,Sale,329000,Appartment,Flat,46371,1030,1959,Normal,115,2,1,True,,False,,Brussels,avenue lacomblé,14,1,,,,True,
4.3242407,50.8455239,Sale,319000,Appartment,Duplex,46371,1070,1944,To renovate,144,3,1,False,,False,,Brussels,rue léon delacroix,23,,,,,True,
4.4528542,50.832327,Sale,925000,House,House,46535,1150,1936,To be renovated,200,5,2,False,,False,,Brussels,avenue orban,20,,440,,300,,
4.3733382,50.8516118,Sale,295000,Appartment,Flat,46453,1210,1902,Normal,70,2,1,False,7,False,On contract,Brussels,rue saint-josse,13,,,,,,
4.3742387,50.8512144,Sale,150000,Appartment,FlatStudio,40225,1210,1965,To renovate,34,0,1,True,15,False,On contract,Brussels,rue de la ferme,16,,,11112,,,
4.3193694,50.8569755,Sale,550000,House,MixedBuilding,38140,1080,1960,Excellent,240,2,2,,20,,,Brussels,,,1,,,135,,
4.38865,50.81896,Sale,1080000,Appartment,Flat,48985,1050,,Excellent,253,3,1,True,,,Negotiable,Brussels,rue de l'été,53,,,,,True,
4.3515499,50.8427501,Sale,339000,Appartment,Flat,38140,1000,1997,Excellent,80,1,1,True,,False,On contract,Brussels,,,,,,,,
4.3672239,50.8227567,Sale,185000,Appartment,FlatStudio,46535,1000,,Normal,38,,1,True,,,Immediately,Brussels,chaussée de vleurgat,154,,,,,,
4.30253,50.87113,Sale,225000,Appartment,Flat,38140,1083,1950,Normal,85,1,1,True,4,False,,Brussels,,,,,21566,,,
4.399615,50.874464,Sale,235000,Appartment,Flat,42987,1140,,To renovate,90,3,1,True,,,On contract,Brussels,,,,,,,,
4.3766927,50.8235717,Sale,310000,Appartment,GroundFloor,27205,1050,,Normal,60,1,1,True,,False,,Brussels,,,,,10872,,,
4.4140542,50.8135769,Sale,300000,Appartment,Flat,40587,1160,1962,Normal,70,2,1,,15,False,On contract,Brussels,avenue de beaulieu,2,,,,,,
4.3166667,50.8,Sale,350000,House,House,27205,1190,1884,To be renovated,170,7,1,,,,,Brussels,,,,,122998,60,,
4.3333333,50.8,Sale,1290000,House,Villa,49240,1180,1927,Excellent,330,6,3,False,20,False,On contract,Brussels,,,1,450,,530,,
4.3333333,50.8,Sale,1100000,House,Villa,49240,1180,1905,To be renovated,204,4,2,False,,False,On contract,Brussels,,,,1594,,1594,,
4.3789342,50.8411553,Sale,435000,Appartment,Flat,45529,1000,2014,Normal,88,2,1,True,6,,On contract,Brussels,chaussée d'etterbeek,51,,,,,,
4.3166667,50.8,Sale,175000,Appartment,Flat,43156,1190,1938,To be renovated,52,1,1,False,,False,,Brussels,,,,,,,,
4.4329851,50.8381484,Sale,975000,House,House,46007,1150,1954,Excellent,240,5,2,False,10,False,On contract,Brussels,,,1,585,,500,,
4.3333333,50.8,Sale,1690000,House,Villa,49240,1180,1910,To be renovated,230,5,1,False,50,False,On contract,Brussels,,,1,1200,,950,,
4.3515499,50.8427501,Sale,355000,Appartment,Flat,28161,1000,,,55,1,1,,18,,,Brussels,,,,,,,,
4.3407539,50.7748717,Sale,1995000,House,House,49240,1180,1875,Normal,415,5,2,False,25,False,On contract,Brussels,avenue des hospices,186,4,77000,,7700,,True
4.381355,50.8242662,Sale,235000,Appartment,Flat,43156,1050,1953,To be renovated,62,1,1,False,4,False,On contract,Brussels,rue leon cuissez,60,,,,,,
4.3102106,50.8420959,Sale,280000,Appartment,Flat,45647,1070,2009,,96,2,1,True,40,,,Brussels,rue démosthène,65,,,,,False,
4.4033689,50.830747,Sale,210000,Appartment,FlatStudio,47575,1040,1975,Normal,46,0,1,True,10,,On contract,Brussels,boulevard louis schmidt,78,1,,,,,
4.435191,50.8477202,Sale,375000,Appartment,Flat,27466,1200,1965,Normal,123,3,2,True,2,False,On contract,Brussels,avenue paul hymans,139,1,,38426,,True,
4.3246279,50.8142177,Sale,420000,Appartment,Penthouse,45787,1190,2019,,92,2,2,False,18,,,Brussels,avenue van volxem,14,,,,,False,
4.373188,50.8941796,Sale,215000,Appartment,Flat,40405,1120,1974,Normal,61,1,1,False,2,False,,Brussels,avenue du roi albert,43,,,,,,
4.418088,50.895148,Sale,325000,Appartment,GroundFloor,37194,1130,2026,New,74,1,1,True,34,False,On contract,Brussels,rue servandoni,47,,,,150,,
4.3515499,50.8427501,Sale,239000,Appartment,Flat,37194,1000,1930,Excellent,71,1,1,False,,,Immediately,Brussels,,,,,,,,
